_type,_id,_revision,_base,_page.next,savivaldybe._id,aob_kodas._id,gyvenamoji_vietove._id,gatve._id,nr,korpuso_nr,pasto_kodas,aob_nuo
datasets/gov/rc/ar/pastatas/Pastatas,0052e5db-bee4-4b71-b352-528443a12067,1640bf8b-dbb5-4768-ba53-7e0c254e5130,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,5f8f8fb5-c027-402f-8868-e4fddc78d996,1b57be76-8bf8-4243-be5c-4b8f51e99247,d9d0dfdb-71b2-4463-b7a2-0af3c9703001,7,,LT-64234,2012-03-13
datasets/gov/rc/ar/pastatas/Pastatas,00536320-2952-457e-ae66-125c714517aa,0f852729-9641-4bac-8637-45643f9ca832,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,7f6f796d-997a-46dc-a8e2-1e484114793e,d75ee223-258d-410b-9414-ed2d1eec8dd1,a218f5e0-bf16-4f6b-8c9f-200f2831ad1d,16,,LT-64469,2010-07-12
datasets/gov/rc/ar/pastatas/Pastatas,0055e724-298e-4b6f-b3fb-b4fd7a02d223,7a9c86e9-2d74-4731-95c2-8d4a37329876,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,4b72a7f5-442a-43d5-80aa-14c9d94ae026,1b57be76-8bf8-4243-be5c-4b8f51e99247,d9d0dfdb-71b2-4463-b7a2-0af3c9703001,3,,LT-64234,2012-03-13
datasets/gov/rc/ar/pastatas/Pastatas,0057ba09-11e9-48d9-b7b3-9f93a917148c,8f0d736d-54c3-4e3c-b23d-0b2df72324e1,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,484f20f7-535a-4355-8b69-44bb23b2ac1a,065abb16-bf81-416f-b6ab-cc80f1159567,071c6865-1322-4a3f-a8e6-aede50c206f5,4,,LT-64263,2012-01-03
datasets/gov/rc/ar/pastatas/Pastatas,005c9635-56ec-4725-b20c-62b8775ce0f1,2453c86a-972f-4f0f-87a1-4d8c45bb754a,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,54eebb6e-f1aa-42dd-8aa5-5d3711dc82fb,6011934d-1126-43df-9fe1-837514574e26,322c91e7-d1d6-48c9-b426-493b8495ea42,5,,LT-62193,2010-08-16
datasets/gov/rc/ar/pastatas/Pastatas,005d0779-4277-4a67-90be-c32d273045a9,125e30ab-097e-40fa-a883-2ce13c3e5a32,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,876d4ab5-7816-48ad-a971-4fd56bcaf945,d75ee223-258d-410b-9414-ed2d1eec8dd1,2cbe802b-1257-4f0b-83ee-5b83f62553d4,10,,LT-64471,2010-07-28
datasets/gov/rc/ar/pastatas/Pastatas,005e3111-f6c6-4eee-8fbb-7afe98489052,ea9e0db7-98cd-490a-b80f-52888f433f97,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,632e229e-fd3a-4272-b390-647b67b492d1,e71d3a3a-c09e-4dc3-a87f-4b79c2f92273,d73b2cdd-7f74-42b0-a7ce-50edd94e4989,11,,LT-64102,2005-09-13
datasets/gov/rc/ar/pastatas/Pastatas,00603497-d53c-4b5d-8034-83690e460972,df45ba5e-7ed3-4d60-8c64-c02598badd95,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,da91423c-d407-486b-8607-12462a4b84bb,3aa783c4-8c4f-408f-b71d-f6a0cd8f1c79,e3c1ba66-cdbf-492c-8a26-182ed33ebb06,26,,LT-64109,2016-02-01
datasets/gov/rc/ar/pastatas/Pastatas,00614334-b377-4c4d-9985-d920cd9a9ca5,b62cb54f-3776-488d-bc6c-4177f48417e9,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,3e05f974-0c48-4eb9-9880-96f3d8aebf7b,a891960e-a821-4688-af2d-ac393c2bb5e8,6ac9dcd5-a1e4-4965-b5c9-1dfbc002bbea,6,,LT-62192,2010-08-16
datasets/gov/rc/ar/pastatas/Pastatas,00631fe6-5c86-4ba5-a5f2-347bcf6ae94a,728a90a6-7f12-4536-a145-8ec2e14495f2,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,55b473e3-5df4-45ee-b842-5faa13adc2ce,2b79b7fd-df33-4979-b0e6-47af974065bd,e84bb30a-4c0d-42a2-9d19-f51c9dd9d2c2,15,,LT-64118,2010-12-23
