dirbt_id,seniunijos_pavad,atr_uzstatytas_plotas,stat_pabaigos_metai,aukstu_skaicius,status,pool,n_candidates,b_OBJECTID,b_TOP_ID,b_Shape_Area,b_seniunija,b_cx,b_cy,log_area_dist
75636593330332028,Kauno m.,218.0,1967.0,1,ambiguous,citywide,27421,44888.0,B268A1E3-7347-4AC4-BD98-EE0A4AAAAC83,218.0028938980855,Šančių sen.,495830.79086196265,6080680.2493336825,1.327467375134006e-05
64941294965986579,Žaliakalnio sen.,29.0,2016.0,0,ambiguous,district,1931,33093.0,1B30F2FC-C338-441C-BF24-F6EBC5254EB2,28.99143466581652,Žaliakalnio sen.,496152.4277999995,6085483.30405,0.0002953999774319982
75549991861245364,Šančių sen.,115.0,1967.0,1,ambiguous,district,3410,4564.0,D3DB79D8-1F8C-44D2-90A6-A29341EBA89F,115.0124999989476,Šančių sen.,495728.5800000001,6082581.315,0.00010868973607891519
6484847754070204,Kauno m.,145.0,2020.0,2,ambiguous,citywide,37617,10502.0,06A309CA-EE71-4FC3-8B2F-9D0FC001728B,144.99899999988173,Gričiupio sen.,497108.41734143486,6085000.2549032895,6.8965763206918496e-06
75693927739349201,Aleksoto sen.,51.0,1920.0,1,ambiguous,district,5811,64275.0,657973f9-4a1d-4c5d-bae4-4b77d02c5526,50.98881004950103,Aleksoto sen.,490054.98670231964,6079844.119767098,0.00021943486816722313
74946906134718258,Šilainių sen.,44.0,2015.0,1,ambiguous,district,4599,60527.0,db38a606-53d1-47e6-b5d4-e64aaa21ee43,44.00053074682302,Šilainių sen.,489971.9751714654,6088039.162789768,1.2062355045472373e-05
64868834792030206,Kauno m.,47.0,2020.0,2,ambiguous,citywide,29142,40336.0,7A6DFCB9-57DF-47DA-B5FA-DEE6E0F70BDF,47.000699998120034,Šilainių sen.,492681.16717936174,6089832.058629894,1.4893466113719e-05
65312941900272495,Kauno m.,10.0,2004.0,1,ambiguous,citywide,6494,3192.0,1E9685FE-87AF-4400-866F-38F9F4075B25,12.001999996529893,Šilainių sen.,492618.23000000004,6090486.250000001,0.182488209284148
75446898057086098,Kauno m.,233.0,1978.0,1,ambiguous,citywide,25317,40712.0,18F44FFF-52BC-4C7F-ACB1-21052615F386,232.99560522961414,Panemunės sen.,497900.0439587213,6081261.336146521,1.8861853359197767e-05
74888391851505698,Kauno m.,40.0,1962.0,1,ambiguous,citywide,25535,512.0,2119E511-AA18-4FFF-AE06-1B9C823F8464,39.99623781162094,Vilijampolės sen.,494215.36519710184,6088381.179617149,9.405913289795009e-05
75533556518257161,Gričiupio sen.,143.0,1969.0,1,ambiguous,district,1003,57644.0,6784a67f-7d2b-4be7-b943-046c5dbb888c,142.88447703875164,Gričiupio sen.,496739.2861991842,6085583.131835045,0.0008081793648457847
