dirbt_id,seniunijos_pavad,obje_tipas,pask_tipas,aukstu_skaicius,atr_uzstatytas_plotas,stat_pabaigos_metai,status,n_candidates,n_categorical_pool,best_unikalus_nr,best_b_area,log_area_dist
745561703323111,Kauno m.,28,240,1,19.6,1988.0,ambiguous,589,3176,199290139050,19.57819989043279,0.0011128694977360354
75218415362338961,Aleksoto sen.,20,110,1,88.0,1963.0,ambiguous,13588,15727,199620241014,88.00454999920987,5.170319984237892e-05
64914264432763449,Žaliakalnio sen.,22,240,1,133.0,2006.0,ambiguous,177,264,440055351081,133.34163410460414,0.0025653840648383053
74457958772843405,Kauno m.,28,240,0,17.0,1960.0,ambiguous,2,14,440037465764,19.353600001105665,0.1296651046838262
75692104472339039,Šilainių sen.,20,110,1,127.0,1921.0,ambiguous,14624,15727,199580537011,127.00350000830926,2.7558740799626946e-05
74574341261084698,Kauno m.,28,240,1,76.0,1985.0,ambiguous,2201,3176,440025942209,75.92613918995309,0.0009723253188660408
74481289250538124,Kauno m.,28,240,1,28.0,1988.0,ambiguous,1054,3176,440040127631,28.04340274881733,0.001548898009962052
74458994533711534,Kauno m.,28,240,1,42.0,1962.0,ambiguous,1562,3176,199100156029,42.02899999731593,0.0006902378576021384
74247215486017079,Petrašiūnų sen.,26,266,1,37.0,1985.0,ambiguous,287,389,199980148016,37.012463890224346,0.00033680517272483
74956213255647178,Kauno m.,28,240,1,58.94,1980.0,ambiguous,2017,3176,199390329038,59.001267202815534,0.0010389443793448194
74558496163756482,Kauno m.,28,240,1,25.0,1937.0,ambiguous,903,3176,440050743778,24.990042994721314,0.00039835954577638333
64860975610940508,Kauno m.,20,110,2,113.0,2021.0,ambiguous,7086,8034,199280119020,113.0126000022307,0.00011149822836031831
85415642673327366,Aleksoto sen.,20,110,1,153.0,2010.0,ambiguous,13748,15727,199350300019,153.00044999148156,2.9411164694792546e-06
74407583944752068,Kauno m.,28,240,1,43.0,1987.0,ambiguous,1597,3176,440028001572,43.06414195874233,0.0014905620194025637
74301623231110475,Kauno m.,28,240,0,5.0,1971.0,no_match,0,14,,,
64762633831421348,Kauno m.,20,110,1,114.0,2023.0,ambiguous,14677,15727,199610120013,114.00675000675302,5.92088326749618e-05
74508252750601162,Petrašiūnų sen.,22,266,1,41.0,2000.0,ambiguous,273,332,199730272012,40.60544999888092,0.009669772679885114
74277316638809363,Kauno m.,28,240,1,21.0,1939.0,ambiguous,683,3176,199570356022,20.99824999592453,8.333699983475995e-05
65088772824911989,Petrašiūnų sen.,22,222,1,2342.0,2014.0,ambiguous,183,917,440027541862,2349.146154652913,0.0030466585115673794
75154251668970551,Šilainių sen.,20,110,1,152.0,1992.0,ambiguous,13788,15727,199880090010,152.0013499902958,8.881475663358174e-06
7451803742411299,Kauno m.,28,240,1,18.0,1964.0,ambiguous,504,3176,199620475038,18.02892226261338,0.0016055028576857922
75611143584179752,Eigulių sen.,20,110,1,99.0,1959.0,ambiguous,14300,15727,440060829125,98.99872793961106,1.284917738786362e-05
74183952054920316,Šilainių sen.,20,110,2,376.0,2001.0,ambiguous,1405,8034,440052344839,375.68823768186064,0.0008294990406580993
74545088391250763,Kauno m.,28,240,1,14.0,1979.0,ambiguous,297,3176,190021051033,14.002474562702611,0.00017673885952573798
64924947580682277,Dainavos sen.,20,120,2,115.0,2019.0,ambiguous,2255,2464,440056193276,114.8943794253134,0.0009188618041209295
64904691973294418,Kauno m.,22,220,1,26.0,1982.0,ambiguous,245,1208,199700305019,26.1527741699787,0.00585873366871148
74457061308652872,Kauno m.,28,240,1,41.0,1950.0,ambiguous,1541,3176,199390440029,41.00460000060461,0.00011218884329400325
